epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,254.046,0.62292,1.09321,0.8761,0.93817,0.97167,0.995,0.82075,0.75439,1.01531,0.97378,0.0005842,0.0005842,0.0005842
44,259.551,0.68531,1.09696,0.86867,0.91268,0.96694,0.995,0.81662,0.6745,0.93969,0.94659,0.0005743,0.0005743,0.0005743
45,264.968,0.60699,1.03236,0.86233,0.91268,0.96694,0.995,0.81662,0.6745,0.93969,0.94659,0.0005644,0.0005644,0.0005644
46,270.422,0.5904,0.99173,0.85637,0.91268,0.96694,0.995,0.81662,0.6745,0.93969,0.94659,0.0005545,0.0005545,0.0005545
47,275.961,0.64337,1.00182,0.86445,0.91268,0.96694,0.995,0.81662,0.6745,0.93969,0.94659,0.0005446,0.0005446,0.0005446
48,281.461,0.61315,1.00801,0.86272,0.93256,0.95046,0.995,0.86638,0.56792,0.93147,0.92753,0.0005347,0.0005347,0.0005347
49,287.021,0.66488,1.0099,0.86111,0.93256,0.95046,0.995,0.86638,0.56792,0.93147,0.92753,0.0005248,0.0005248,0.0005248
50,292.464,0.65758,1.00998,0.84188,0.93256,0.95046,0.995,0.86638,0.56792,0.93147,0.92753,0.0005149,0.0005149,0.0005149
51,298.059,0.64094,0.95797,0.8506,0.93256,0.95046,0.995,0.86638,0.56792,0.93147,0.92753,0.000505,0.000505,0.000505
52,303.731,0.66663,0.96361,0.85846,0.96094,0.96143,0.995,0.85804,0.5593,0.88725,0.92027,0.0004951,0.0004951,0.0004951
53,309.403,0.61964,0.91149,0.8537,0.96094,0.96143,0.995,0.85804,0.5593,0.88725,0.92027,0.0004852,0.0004852,0.0004852
54,315.146,0.63065,0.94585,0.89544,0.96094,0.96143,0.995,0.85804,0.5593,0.88725,0.92027,0.0004753,0.0004753,0.0004753
55,320.623,0.57885,0.93057,0.85683,0.96094,0.96143,0.995,0.85804,0.5593,0.88725,0.92027,0.0004654,0.0004654,0.0004654
56,326.046,0.61528,0.94066,0.87737,0.95217,0.9913,0.995,0.84146,0.60934,0.89918,0.9261,0.0004555,0.0004555,0.0004555
57,331.484,0.60578,0.93221,0.83501,0.95217,0.9913,0.995,0.84146,0.60934,0.89918,0.9261,0.0004456,0.0004456,0.0004456
58,336.948,0.57764,0.90662,0.87654,0.95217,0.9913,0.995,0.84146,0.60934,0.89918,0.9261,0.0004357,0.0004357,0.0004357
59,342.473,0.63369,0.95619,0.85786,0.95217,0.9913,0.995,0.84146,0.60934,0.89918,0.9261,0.0004258,0.0004258,0.0004258
60,348.03,0.60388,0.95375,0.83516,0.96699,1,0.995,0.887,0.56577,0.86071,0.9277,0.0004159,0.0004159,0.0004159
61,354.055,0.61677,0.93005,0.84866,0.96699,1,0.995,0.887,0.56577,0.86071,0.9277,0.000406,0.000406,0.000406
62,359.711,0.58765,0.92374,0.8947,0.96699,1,0.995,0.887,0.56577,0.86071,0.9277,0.0003961,0.0003961,0.0003961
63,365.535,0.56091,0.91153,0.83159,0.96699,1,0.995,0.887,0.56577,0.86071,0.9277,0.0003862,0.0003862,0.0003862
64,371.478,0.57721,0.93212,0.83504,0.94598,0.98871,0.995,0.89121,0.49962,0.81367,0.92435,0.0003763,0.0003763,0.0003763
