epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65343,2.5066,8.28331,2.33857,0,0,0,0,3.46014,5.45567,3.10018,2.499e-05,2.499e-05,2.499e-05
2,3.10474,1.4487,12.1142,1.38634,0,0,0,0,3.44904,5.37441,3.11283,5.77327e-05,5.77327e-05,5.77327e-05
3,4.55819,2.93747,8.90112,2.29637,0,0,0,0,3.44904,5.37441,3.11283,8.98157e-05,8.98157e-05,8.98157e-05
4,5.97772,1.6008,11.6613,1.36695,0,0,0,0,3.44904,5.37441,3.11283,0.000121239,0.000121239,0.000121239
5,7.44082,0.8456,14.8995,0.78729,0,0,0,0,3.44904,5.37441,3.11283,0.000152003,0.000152003,0.000152003
6,8.82784,0.6693,14.7377,0.56702,0,0,0,0,3.03197,5.58204,3.00673,0.000182106,0.000182106,0.000182106
7,10.2327,0.90201,14.736,0.76877,0,0,0,0,3.03197,5.58204,3.00673,0.00021155,0.00021155,0.00021155
8,11.6705,0.68796,14.7577,0.71285,0,0,0,0,3.03197,5.58204,3.00673,0.000240335,0.000240335,0.000240335
9,13.0974,2.8212,10.2251,2.23513,0,0,0,0,3.03197,5.58204,3.00673,0.000268459,0.000268459,0.000268459
10,14.5291,0.94734,15.7481,0.68873,0,0,0,0,3.03197,5.58204,3.00673,0.000295924,0.000295924,0.000295924
11,15.9129,0,17.8346,0,0,0,0,0,3.03197,5.58204,3.00673,0.000322729,0.000322729,0.000322729
12,17.3691,1.68408,11.7702,1.35775,0,0,0,0,3.03197,5.58204,3.00673,0.000348875,0.000348875,0.000348875
13,18.8082,0.79649,14.6844,0.71175,0,0,0,0,3.03197,5.58204,3.00673,0.00037436,0.00037436,0.00037436
14,20.3117,1.68328,12.3593,1.32654,0,0,0,0,3.03197,5.58204,3.00673,0.000399186,0.000399186,0.000399186
15,21.892,0.72793,14.663,0.65273,0,0,0,0,2.934,5.12224,2.72163,0.000423352,0.000423352,0.000423352
