epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20.6003,3.01665,4.95904,2.64255,0,0,0,0,3.40768,5.30306,3.04163,0.000202903,0.000202903,0.000202903
43,21.0928,3.15947,5.40312,3.00058,0,0,0,0,3.40768,5.30306,3.04163,0.000204388,0.000204388,0.000204388
44,21.6301,2.95275,5.20814,2.4593,0,0,0,0,3.40768,5.30306,3.04163,0.000205709,0.000205709,0.000205709
45,22.1366,3.22941,4.73183,2.72099,0,0,0,0,3.40768,5.30306,3.04163,0.000206864,0.000206864,0.000206864
46,22.6239,2.70995,5.35358,2.72847,0,0,0,0,3.40768,5.30306,3.04163,0.000207854,0.000207854,0.000207854
47,23.1158,3.33988,5.28016,2.31192,0,0,0,0,3.40768,5.30306,3.04163,0.00020868,0.00020868,0.00020868
48,23.609,2.76567,4.99523,2.50637,0,0,0,0,3.40768,5.30306,3.04163,0.00020934,0.00020934,0.00020934
49,24.0979,3.41435,5.26932,2.99707,0,0,0,0,3.40768,5.30306,3.04163,0.000209836,0.000209836,0.000209836
50,24.5757,3.30972,5.10455,2.97694,0,0,0,0,3.40768,5.30306,3.04163,0.000210167,0.000210167,0.000210167
51,25.0599,3.14262,4.7866,2.51574,0,0,0,0,3.40768,5.30306,3.04163,0.000210332,0.000210332,0.000210332
52,25.546,3.0579,5.42903,2.80762,0,0,0,0,3.40768,5.30306,3.04163,0.000210333,0.000210333,0.000210333
53,26.0273,3.35517,4.84212,2.74174,0,0,0,0,3.40768,5.30306,3.04163,0.000210169,0.000210169,0.000210169
54,26.5282,3.0392,4.66715,2.4629,0,0,0,0,3.40768,5.30306,3.04163,0.00020984,0.00020984,0.00020984
55,27.0394,3.44661,5.14146,2.90315,0,0,0,0,3.40768,5.30306,3.04163,0.000209346,0.000209346,0.000209346
56,27.6106,3.3406,4.81446,2.35457,0,0,0,0,3.40768,5.30306,3.04163,0.000208687,0.000208687,0.000208687
57,28.1594,3.61669,5.18637,2.88294,0,0,0,0,3.40768,5.30306,3.04163,0.000207863,0.000207863,0.000207863
58,28.7306,2.94606,4.98171,2.57985,0,0,0,0,3.40768,5.30306,3.04163,0.000206875,0.000206875,0.000206875
59,29.2869,2.85381,5.15206,2.65322,0,0,0,0,3.40768,5.30306,3.04163,0.000205721,0.000205721,0.000205721
60,29.8478,3.42445,4.90647,2.35378,0,0,0,0,2.85551,5.12539,2.64091,0.000204402,0.000204402,0.000204402
61,30.3406,2.74135,4.69661,2.12639,0,0,0,0,2.85551,5.12539,2.64091,0.000202919,0.000202919,0.000202919
62,30.8296,2.60981,4.72442,2.32193,0,0,0,0,2.85551,5.12539,2.64091,0.00020127,0.00020127,0.00020127
63,31.3695,3.0207,5.07403,2.41058,0,0,0,0,2.85551,5.12539,2.64091,0.000199457,0.000199457,0.000199457
64,31.9444,3.15244,4.76872,2.43669,0,0,0,0,2.85551,5.12539,2.64091,0.000197478,0.000197478,0.000197478
65,32.4248,2.82678,4.82088,2.20078,0,0,0,0,2.85551,5.12539,2.64091,0.000195335,0.000195335,0.000195335
66,32.9084,3.16085,5.58472,2.90236,0,0,0,0,2.85551,5.12539,2.64091,0.000193027,0.000193027,0.000193027
67,33.3975,2.85166,4.87021,2.41811,0,0,0,0,2.85551,5.12539,2.64091,0.000190554,0.000190554,0.000190554
