epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89936,2.50313,4.91709,2.21088,0,0,0,0,2.06882,4.77666,2.40234,3.333e-05,3.333e-05,3.333e-05
2,3.64463,1.91914,4.61339,1.84158,0,0,0,0,1.87245,4.60083,2.0185,7.70001e-05,7.70001e-05,7.70001e-05
3,5.26857,2.05373,4.73739,1.78916,0,0,0,0,1.87245,4.60083,2.0185,0.00011979,0.00011979,0.00011979
4,6.8421,1.85895,4.46144,1.64996,0,0,0,0,1.87245,4.60083,2.0185,0.0001617,0.0001617,0.0001617
5,8.58346,1.88418,4.71921,1.82094,0,0,0,0,1.87245,4.60083,2.0185,0.000202731,0.000202731,0.000202731
6,10.2612,1.69137,4.46897,1.64604,0,0,0,0,0.90955,4.12757,1.17516,0.000242881,0.000242881,0.000242881
7,11.8588,0.9778,3.98345,1.19193,0,0,0,0,0.90955,4.12757,1.17516,0.000282152,0.000282152,0.000282152
8,13.6408,1.30323,4.35069,1.38265,0,0,0,0,0.90955,4.12757,1.17516,0.000320542,0.000320542,0.000320542
9,15.2707,1.1484,4.22682,1.25487,0,0,0,0,0.90955,4.12757,1.17516,0.000358053,0.000358053,0.000358053
10,16.9358,1.32073,4.22143,1.33167,0,0,0,0,0.90955,4.12757,1.17516,0.000394684,0.000394684,0.000394684
11,18.4287,1.11005,4.15312,1.32951,0,0,0,0,0.90955,4.12757,1.17516,0.000430435,0.000430435,0.000430435
12,19.913,1.07654,4.06309,1.21181,0,0,0,0,0.90955,4.12757,1.17516,0.000465306,0.000465306,0.000465306
13,21.5175,1.15325,4.2097,1.20593,0,0,0,0,0.90955,4.12757,1.17516,0.000499297,0.000499297,0.000499297
14,23.0939,1.27439,4.43971,1.42499,0,0,0,0,0.90955,4.12757,1.17516,0.000532408,0.000532408,0.000532408
15,24.6743,1.29433,4.43012,1.32414,0.00806,0.5,0.27004,0.16297,0.69755,3.81758,0.98526,0.000564639,0.000564639,0.000564639
