epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,235.712,0.62616,1.0872,0.8806,0.95437,0.97654,0.995,0.78338,0.8458,1.08476,0.99169,0.0005842,0.0005842,0.0005842
44,241.079,0.66176,1.06182,0.86489,0.88705,0.96947,0.995,0.81654,0.7375,1.09035,0.97176,0.0005743,0.0005743,0.0005743
45,246.378,0.6295,1.02861,0.86572,0.88705,0.96947,0.995,0.81654,0.7375,1.09035,0.97176,0.0005644,0.0005644,0.0005644
46,251.601,0.59916,1.00066,0.85664,0.88705,0.96947,0.995,0.81654,0.7375,1.09035,0.97176,0.0005545,0.0005545,0.0005545
47,256.885,0.64951,1.02033,0.86398,0.88705,0.96947,0.995,0.81654,0.7375,1.09035,0.97176,0.0005446,0.0005446,0.0005446
48,262.059,0.61719,1.03825,0.86381,0.92212,0.90642,0.995,0.84567,0.59036,1.07079,0.94863,0.0005347,0.0005347,0.0005347
49,267.246,0.65494,0.99817,0.85315,0.92212,0.90642,0.995,0.84567,0.59036,1.07079,0.94863,0.0005248,0.0005248,0.0005248
50,272.433,0.6612,1.01569,0.84693,0.92212,0.90642,0.995,0.84567,0.59036,1.07079,0.94863,0.0005149,0.0005149,0.0005149
51,277.62,0.65259,0.97645,0.85545,0.92212,0.90642,0.995,0.84567,0.59036,1.07079,0.94863,0.000505,0.000505,0.000505
52,282.837,0.65695,0.97554,0.85872,0.91282,0.96702,0.995,0.89129,0.5575,0.93534,0.92934,0.0004951,0.0004951,0.0004951
53,288.096,0.60405,0.91618,0.84863,0.91282,0.96702,0.995,0.89129,0.5575,0.93534,0.92934,0.0004852,0.0004852,0.0004852
54,293.377,0.60446,0.94773,0.8864,0.91282,0.96702,0.995,0.89129,0.5575,0.93534,0.92934,0.0004753,0.0004753,0.0004753
55,298.616,0.57979,0.93738,0.85045,0.91282,0.96702,0.995,0.89129,0.5575,0.93534,0.92934,0.0004654,0.0004654,0.0004654
56,304.241,0.59992,0.93274,0.87441,0.96084,0.98257,0.995,0.89129,0.6058,0.87941,0.93025,0.0004555,0.0004555,0.0004555
57,309.94,0.60893,0.94319,0.8385,0.96084,0.98257,0.995,0.89129,0.6058,0.87941,0.93025,0.0004456,0.0004456,0.0004456
58,315.549,0.55336,0.90471,0.87241,0.96084,0.98257,0.995,0.89129,0.6058,0.87941,0.93025,0.0004357,0.0004357,0.0004357
59,321.085,0.63139,0.96423,0.85725,0.96084,0.98257,0.995,0.89129,0.6058,0.87941,0.93025,0.0004258,0.0004258,0.0004258
60,326.946,0.61332,0.95276,0.84002,0.95809,0.99862,0.995,0.88296,0.5612,0.91654,0.92681,0.0004159,0.0004159,0.0004159
61,332.624,0.61654,0.92989,0.85307,0.95809,0.99862,0.995,0.88296,0.5612,0.91654,0.92681,0.000406,0.000406,0.000406
62,338.016,0.55624,0.92169,0.89279,0.95809,0.99862,0.995,0.88296,0.5612,0.91654,0.92681,0.0003961,0.0003961,0.0003961
63,343.838,0.5669,0.91048,0.83518,0.95809,0.99862,0.995,0.88296,0.5612,0.91654,0.92681,0.0003862,0.0003862,0.0003862
64,349.153,0.57694,0.92724,0.8353,0.95329,0.9871,0.995,0.89542,0.49753,0.87646,0.92287,0.0003763,0.0003763,0.0003763
65,354.617,0.57218,0.89701,0.83885,0.95329,0.9871,0.995,0.89542,0.49753,0.87646,0.92287,0.0003664,0.0003664,0.0003664
66,360.148,0.58214,0.86885,0.87212,0.95329,0.9871,0.995,0.89542,0.49753,0.87646,0.92287,0.0003565,0.0003565,0.0003565
67,365.425,0.56105,0.90025,0.87019,0.95329,0.9871,0.995,0.89542,0.49753,0.87646,0.92287,0.0003466,0.0003466,0.0003466
68,370.833,0.52966,0.86114,0.84538,0.93749,0.96758,0.995,0.88717,0.48624,0.82741,0.9267,0.0003367,0.0003367,0.0003367
69,376.538,0.53503,0.82268,0.8201,0.93749,0.96758,0.995,0.88717,0.48624,0.82741,0.9267,0.0003268,0.0003268,0.0003268
70,382.37,0.53876,0.82846,0.83511,0.93749,0.96758,0.995,0.88717,0.48624,0.82741,0.9267,0.0003169,0.0003169,0.0003169
71,388.155,0.58236,0.8614,0.84738,0.93749,0.96758,0.995,0.88717,0.48624,0.82741,0.9267,0.000307,0.000307,0.000307
72,393.901,0.54499,0.85247,0.83996,0.94903,0.97523,0.995,0.89121,0.48575,0.81005,0.92233,0.0002971,0.0002971,0.0002971
73,399.387,0.54225,0.85078,0.86122,0.94903,0.97523,0.995,0.89121,0.48575,0.81005,0.92233,0.0002872,0.0002872,0.0002872
74,405.051,0.54071,0.83744,0.86055,0.94903,0.97523,0.995,0.89121,0.48575,0.81005,0.92233,0.0002773,0.0002773,0.0002773
75,411.158,0.52803,0.8276,0.83805,0.94903,0.97523,0.995,0.89121,0.48575,0.81005,0.92233,0.0002674,0.0002674,0.0002674
