epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65492,2.2678,4.56009,2.03284,0,0,0,0,2.1395,4.70267,2.35979,2.499e-05,2.499e-05,2.499e-05
2,3.36313,2.11948,5.06084,2.04073,0,0,0,0,1.88672,4.58443,2.07043,5.77327e-05,5.77327e-05,5.77327e-05
3,4.99016,2.2103,4.60298,1.89046,0,0,0,0,1.88672,4.58443,2.07043,8.98157e-05,8.98157e-05,8.98157e-05
4,6.68583,2.28799,4.71851,2.06511,0,0,0,0,1.88672,4.58443,2.07043,0.000121239,0.000121239,0.000121239
5,8.3928,1.68522,7.9401,1.62465,0,0,0,0,1.88672,4.58443,2.07043,0.000152003,0.000152003,0.000152003
6,10.3308,1.17099,7.83837,1.22795,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.000182106,0.000182106,0.000182106
7,11.9076,1.66681,4.47369,1.62392,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.00021155,0.00021155,0.00021155
8,13.4407,1.47466,4.35369,1.49006,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.000240335,0.000240335,0.000240335
9,14.9028,1.24521,7.77383,1.16682,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.000268459,0.000268459,0.000268459
10,16.4073,1.49721,4.34343,1.5048,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.000295924,0.000295924,0.000295924
11,17.9272,1.33051,4.43711,1.4482,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.000322729,0.000322729,0.000322729
12,19.4576,1.66382,4.42666,1.61098,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.000348875,0.000348875,0.000348875
13,20.9599,1.62355,4.61452,1.54324,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.00037436,0.00037436,0.00037436
14,22.4511,1.48891,4.40929,1.50821,0.00097,0.0625,0.00182,0.00109,1.09357,4.2681,1.31425,0.000399186,0.000399186,0.000399186
15,23.9956,1.65405,4.51799,1.59422,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000423352,0.000423352,0.000423352
16,25.5135,1.20825,4.10637,1.2317,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000446859,0.000446859,0.000446859
17,27.0389,0.90222,3.76626,1.0985,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000469705,0.000469705,0.000469705
18,28.5892,1.09178,3.97285,1.26915,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000491892,0.000491892,0.000491892
19,30.1296,0.97894,4.05131,1.0437,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.00051342,0.00051342,0.00051342
20,31.6841,0.97886,4.27609,1.17131,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000534287,0.000534287,0.000534287
21,33.2307,1.2901,4.20922,1.25018,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000554495,0.000554495,0.000554495
22,34.7651,1.12753,4.24167,1.19034,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000574043,0.000574043,0.000574043
23,36.2937,1.06041,4.05632,1.17613,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000592931,0.000592931,0.000592931
24,37.8167,1.06029,4.18926,1.16818,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.00061116,0.00061116,0.00061116
25,39.3391,1.06727,4.02378,1.12434,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000628728,0.000628728,0.000628728
26,40.9026,1.38508,4.20809,1.28666,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000626832,0.000626832,0.000626832
27,42.4142,1.21348,4.32853,1.19982,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000618586,0.000618586,0.000618586
28,43.9902,0.90376,4.04672,1.13445,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000610339,0.000610339,0.000610339
29,45.5288,1.07786,4.01408,1.13475,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000602092,0.000602092,0.000602092
30,47.0806,1.12076,4.05055,1.15687,0.00694,0.3125,0.08459,0.06883,0.84668,3.91985,1.02946,0.000593846,0.000593846,0.000593846
31,48.63,1.00973,3.92817,1.09944,0.01509,0.4375,0.23424,0.20719,0.77583,3.6259,1.02259,0.000585599,0.000585599,0.000585599
32,50.1328,1.2385,4.05681,1.23463,0.01509,0.4375,0.23424,0.20719,0.77583,3.6259,1.02259,0.000577352,0.000577352,0.000577352
