epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.74961,2.37129,4.54422,2.19632,0,0,0,0,2.13421,4.73526,2.35385,2.499e-05,2.499e-05,2.499e-05
2,3.41422,1.8799,4.40985,1.88699,0,0,0,0,2.06694,4.67044,2.17112,5.77327e-05,5.77327e-05,5.77327e-05
3,4.93109,2.15001,4.62357,1.9071,0,0,0,0,2.06694,4.67044,2.17112,8.98157e-05,8.98157e-05,8.98157e-05
4,6.44322,1.74951,4.37593,1.73262,0,0,0,0,2.06694,4.67044,2.17112,0.000121239,0.000121239,0.000121239
5,7.9647,1.92853,4.48273,1.89113,0,0,0,0,2.06694,4.67044,2.17112,0.000152003,0.000152003,0.000152003
6,9.52795,1.77213,4.36718,1.73932,0,0,0,0,1.10605,4.29813,1.31967,0.000182106,0.000182106,0.000182106
7,11.1043,1.19418,4.09009,1.32578,0,0,0,0,1.10605,4.29813,1.31967,0.00021155,0.00021155,0.00021155
8,12.756,1.40409,4.30311,1.46494,0,0,0,0,1.10605,4.29813,1.31967,0.000240335,0.000240335,0.000240335
9,14.3417,1.36916,4.24574,1.40909,0,0,0,0,1.10605,4.29813,1.31967,0.000268459,0.000268459,0.000268459
10,15.9597,1.61346,4.19725,1.53876,0,0,0,0,1.10605,4.29813,1.31967,0.000295924,0.000295924,0.000295924
11,17.615,1.36067,4.22014,1.50225,0,0,0,0,1.10605,4.29813,1.31967,0.000322729,0.000322729,0.000322729
12,19.1723,1.22153,4.22692,1.39342,0,0,0,0,1.10605,4.29813,1.31967,0.000348875,0.000348875,0.000348875
13,20.7177,1.29012,4.24226,1.31279,0,0,0,0,1.10605,4.29813,1.31967,0.00037436,0.00037436,0.00037436
14,22.2845,1.49482,4.36077,1.5241,0,0,0,0,1.10605,4.29813,1.31967,0.000399186,0.000399186,0.000399186
15,23.9097,1.38199,4.4004,1.37564,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000423352,0.000423352,0.000423352
16,25.5641,0.88826,3.78988,1.02888,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000446859,0.000446859,0.000446859
17,27.2498,0.77394,3.74829,1.04824,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000469705,0.000469705,0.000469705
18,28.8748,1.00475,3.85243,1.08841,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000491892,0.000491892,0.000491892
19,30.5097,0.9656,3.82137,1.0698,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.00051342,0.00051342,0.00051342
20,32.0768,0.93999,3.83168,1.04836,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000534287,0.000534287,0.000534287
21,33.6683,0.94597,3.89182,1.08672,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000554495,0.000554495,0.000554495
22,35.2376,0.89391,3.94094,1.02137,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000574043,0.000574043,0.000574043
23,36.7976,0.8505,3.8822,1.05221,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000592931,0.000592931,0.000592931
24,38.4815,0.96749,3.88684,1.07376,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.00061116,0.00061116,0.00061116
25,40.128,1.00932,3.96175,1.10194,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000628728,0.000628728,0.000628728
26,41.8522,0.8744,3.80862,1.0701,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000626832,0.000626832,0.000626832
27,43.4253,0.8686,3.7763,1.0771,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000618586,0.000618586,0.000618586
28,44.9914,0.86145,3.85637,0.96401,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000610339,0.000610339,0.000610339
29,46.6137,0.97046,3.95858,1.08619,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000602092,0.000602092,0.000602092
30,48.2182,0.85421,3.83139,1.06191,0.00699,0.375,0.14695,0.1226,0.91832,3.87473,1.05326,0.000593846,0.000593846,0.000593846
31,49.9131,0.96433,3.87003,1.07819,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000585599,0.000585599,0.000585599
32,51.4761,0.8554,3.46555,0.92831,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000577352,0.000577352,0.000577352
33,53.1069,0.67957,3.40526,0.95845,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000569106,0.000569106,0.000569106
34,54.7321,0.96614,3.39392,1.04469,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000560859,0.000560859,0.000560859
35,56.3355,0.87678,3.44804,0.99441,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000552612,0.000552612,0.000552612
36,57.9768,0.75264,3.35194,0.94412,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000544365,0.000544365,0.000544365
37,59.5632,0.94457,3.36121,1.05063,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000536119,0.000536119,0.000536119
38,61.1874,0.89562,3.34327,1.04826,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000527872,0.000527872,0.000527872
39,62.7899,0.8979,3.35228,1.03919,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000519625,0.000519625,0.000519625
40,64.3512,0.88099,3.4354,0.97978,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000511379,0.000511379,0.000511379
41,65.9375,0.93246,3.4124,0.96639,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000503132,0.000503132,0.000503132
42,67.5078,0.86687,3.33917,0.96488,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000494885,0.000494885,0.000494885
43,69.1356,0.94202,3.38154,1.05684,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000486639,0.000486639,0.000486639
44,70.7598,1.04957,3.4309,1.04974,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000478392,0.000478392,0.000478392
45,72.2737,0.87411,3.39734,1.05099,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000470145,0.000470145,0.000470145
46,73.9186,0.96995,3.39119,1.03543,0.90869,0.23295,0.38783,0.29122,0.91515,3.22752,0.99542,0.000461898,0.000461898,0.000461898
47,75.5119,0.96087,3.38298,0.98031,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000453652,0.000453652,0.000453652
48,77.0657,0.76436,2.93417,0.93079,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000445405,0.000445405,0.000445405
49,78.7147,0.93394,2.9346,0.97274,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000437158,0.000437158,0.000437158
50,80.2486,0.77261,2.96716,0.94732,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000428912,0.000428912,0.000428912
51,81.7776,0.68067,3.01248,0.94442,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000420665,0.000420665,0.000420665
52,83.3273,0.79302,2.95458,0.97524,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000412418,0.000412418,0.000412418
53,84.969,0.7882,2.90424,0.96357,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000404172,0.000404172,0.000404172
54,86.5959,0.87047,2.9916,1.02027,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000395925,0.000395925,0.000395925
55,88.1387,0.81118,2.92379,1.01547,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000387678,0.000387678,0.000387678
56,89.6923,0.77011,2.93972,0.91873,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000379431,0.000379431,0.000379431
57,91.2493,0.80653,3.05986,0.95837,0.53185,0.625,0.7045,0.52476,0.94189,2.43441,1.02388,0.000371185,0.000371185,0.000371185
